Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00022525,-0.028323,-1.2423E-08,0,0,0,0.42055,0.00018737,-3.423E-06,6.0854E-12,0.00020214,-5.1452E-12,0.00018812,0,0,0,0,0,0,package://x7sRIGHT/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/base_link.STL,,通用大电机kcbfp-1/大电机通用座j-1;通用大电机kcbfp-1/DMDbfp-1/DMSDbfp-1;通用大电机kcbfp-1/DMDbfp-1/DMDDbfp-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.020311877665791,0.0282074621926083,0.000172803675324393,0,0,0,0.131891884746085,0.000122237492462549,-3.79784054979191E-05,4.62936177981564E-07,9.03910908617516E-05,5.40326311415879E-07,0.000137488851220674,0,0,0,0,0,0,package://x7sRIGHT/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link1.STL,,L连接座-ck右-1,coordinate1,A1,joint1,revolute,0,-0.05325,0,3.1416,0,0,base_link,0,1,0,100,1000,-10,10,,,,,,,,
link2,0.0244518746422159,0.00440118072836622,-0.0251861194488471,0,0,0,1.03161748745213,0.000670842245862993,-2.84524257464262E-06,-2.92563543090811E-06,0.000528574735977327,5.6929376937982E-05,0.000582889741960739,0,0,0,0,0,0,package://x7sRIGHT/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link2.STL,,通用大电机kcbfp-2/大电机通用座j-1;肩部-V4x7s右-1;肩部roll限位p-1;通用大电机kcbfp-2/DMDbfp-1/DMSDbfp-1;通用大电机kcbfp-2/DMDbfp-1/DMDDbfp-1;DMDbfp-1/DMSDbfp-1;大臂肩部连接-1;DMDbfp-1/DMDDbfp-1,coordinate2,A2,joint2,revolute,0.02725,0.063,0,3.1416,0,3.1416,link1,1,0,0,100,1000,-10,10,,,,,,,,
link3,0.00079596554089453,-0.00142730481079613,0.101622328145539,0,0,0,0.765521029717185,0.00049413058808768,-2.05377157197268E-06,7.69132461279725E-05,0.000650793920912476,6.40760610148571E-06,0.000440125135882058,0,0,0,0,0,0,package://x7sRIGHT/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link3.STL,,大臂连接右-1;大臂电机座-1;肘部电机转轴p右-1;带质量4340无后盖p-1/DMDDbfp-1,coordinate3,A3,joint3,revolute,0.02725,0,-0.0865,3.1416,0,3.1416,link2,0,0,1,100,1000,-10,10,,,,,,,,
link4,0.0572757023214644,-0.0269067500949368,-0.012469744297256,0,0,0,0.512053649682313,0.000229145569623895,-8.89359013671749E-07,2.4648859797671E-05,0.000285791384921848,3.10684679591956E-07,0.000262439590951722,0,0,0,0,0,0,package://x7sRIGHT/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link4.STL,,大小臂连接角度右-1;大小臂连接轴承-1;肘部盖子bfp-1;无后盖motor2bfp-1;小电机通用座240923p-1,coordinate4,A4,joint4,revolute,0,-0.02725,0.1435,-3.1416,0,0,link3,0,1,0,100,1000,-10,10,,,,,,,,
link5,0.0458969709559433,0.000535552755432558,-2.35788965874395E-05,0,0,0,0.487431771518004,0.000196428966166871,-4.45479491785336E-06,-3.27967783773743E-07,0.000223131875037885,-6.47105181853043E-07,0.000197941458742769,0,0,0,0,0,0,package://x7sRIGHT/meshes/link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link5.STL,,小臂电机座cp右-1;腕部电机转轴p-1;DMDbf2p-1/DMSDbfp-1;DMDbf2p-1/DMDDbfp-1;小臂连接ag-1,coordinate5,A5,joint5,revolute,0.0945,-0.02725,-0.015,0,0,0,link4,1,0,0,100,1000,-10,10,,,,,,,,
link6,0.0569901700373937,-0.0269170235590268,0.00134170614722395,0,0,0,0.438499751617276,0.000146379644355829,-1.03801025769386E-06,4.92667352661037E-06,0.000171382705383479,3.06404133617553E-08,0.000219501775684118,0,0,0,0,0,0,package://x7sRIGHT/meshes/link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link6.STL,,小臂腕部连接p-1;小臂双边bp-1;腕部上盖p-1;4310dm newbfp-1;腕部双边5cp-1,coordinate6,A6,joint6,revolute,0.05,0.02725,0,0,0,0,link5,0,1,0,100,1000,-10,10,,,,,,,,
link7,0.078237,2.2769E-05,0.020391,0,0,0,0.47185,0.00038762,-1.1802E-08,-9.8902E-06,0.00015462,1.641E-06,0.00037212,0,0,0,0,0,0,package://x7sRIGHT/meshes/link7.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link7.STL,,手部连接-ckbfp-1;平行夹爪final-1/夹爪固定接口D(N)Nkk1kbDzjy-1;平行夹爪final-1/夹爪固定件-D(N)Nkk1kbDzjy-1;平行夹爪final-1/00-齿条约束kbDzjy-1;平行夹爪final-1/圆柱齿轮24×1.25.-V0(A).1.通用CHNkk1kbDzjy-1;平行夹爪final-1/motor2akk1kbDzjy-1;平行夹爪final-1/滑轨 MGN9C_-V0(A).1.通用CHNkk1kbDzjy-1,coordinate7,A7,joint7,revolute,0.066,-0.02725,-0.022,0,0,0,link6,0,0,-1,100,1000,-10,10,,,,,,,,
link8,-0.00035522,-0.007827,-0.0029883,0,0,0,0.064798,1.9492E-05,4.2167E-06,-8.3727E-07,2.246E-05,4.2246E-07,2.2034E-05,0,0,0,0,0,0,package://x7sRIGHT/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link8.STL,,平行夹爪final-1/夹爪1-V2 (1)kbDzjy-1;平行夹爪final-1/滑块 MGN9C_-V0(A).1.通用CHNkk1kbDzjy-2;平行夹爪final-1/齿条0.0427256600888212×0.8.-V0(A).1.通用CHNkk1kbDzjy-1,coordinate8,A8,joint8,prismatic,0.12737,0.024896,0.021756,0,0,0,link7,0,1,0,100,1000,0,0.044,,,,,,,,
link9,-0.000355223470266619,0.0078276874106032,0.00242005652832589,0,0,0,0.0647981725781684,1.98055189256272E-05,-4.21666700461374E-06,2.22082272456142E-06,2.27730012428804E-05,1.0305602360542E-06,2.20353140631675E-05,0,0,0,0,0,0,package://x7sRIGHT/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://x7sRIGHT/meshes/link9.STL,,平行夹爪final-1/夹爪1-V2 (2)kbDzjy-2;平行夹爪final-1/滑块 MGN9C_-V0(A).1.通用CHNkk1kbDzjy-1;平行夹爪final-1/齿条0.0427256600888212×0.8.-V0(A).1.通用CHNkk1kbDzjy-2,coordinate9,A9,joint9,prismatic,0.12737,-0.0249,0.021756,0,0,0,link7,0,-1,0,100,1000,0,0.044,,,,,,,,
